,title,url,thumbnail,description,genre
0,어글리후드,https://comic.naver.com/webtoon/list?titleId=703630&week=sat,https://shared-comic.pstatic.net/thumb/webtoon/703630/thumbnail/thumbnail_IMAG06_55f8c94e-84e3-478f-a418-a9d5a112b8c8.jpg,"외계인이 유일신으로 군림한 미친 세상,
바꾸고싶다면 사탄이 되어라","스토리, 판타지"
1,일상날개짓,https://comic.naver.com/webtoon/list?titleId=55143,https://shared-comic.pstatic.net/thumb/webtoon/55143/thumbnail/title_thumbnail_20120419164746_t125x101.jpg,"싱글맘 꼬꼬댁씨와 그의 아들 아기새가 살아가는 투닭투닭 성장스토리!
사랑스러운 이들의 <일상날개짓>","에피소드, 일상"
2,하루만 네가 되고 싶어,https://comic.naver.com/webtoon/list?titleId=738487&week=tue,https://shared-comic.pstatic.net/thumb/webtoon/738487/thumbnail/thumbnail_IMAG06_4743a2f1-ccf7-4349-9e67-a2fdf3069aa4.jpg,"'완벽한 인생이었다, 그 애가 나타나기 전까지는'
반전에 반전을 거듭하는 치밀한 궁중 서스펜스
네이버웹툰 최강자전 19년 대표작.","스토리, 로맨스"
3,올해의 벚꽃도 함께,https://comic.naver.com/webtoon/list?titleId=652403,https://shared-comic.pstatic.net/thumb/webtoon/652403/thumbnail/title_thumbnail_20150406152052_t125x101.jpg,봄바람을 타고 벚꽃잎이 살랑살랑 날리면 기분 좋은 두근거림과 함께 생각나는 그녀. 1년 전 짝사랑에게 말하지 못한 한 마디,"스토리, 로맨스"
4,이두나!,https://comic.naver.com/webtoon/list?titleId=731130,https://shared-comic.pstatic.net/thumb/webtoon/731130/thumbnail/thumbnail_IMAG06_1698fd6b-def1-44ec-b699-5bc78406949a.jpg,"(구)아이돌, 첫사랑, 소개팅녀까지 한 집에 모였다! <나노리스트> 민송아 작가의 두근두근 누나 리스트! 대학생 이원준은 개강을 맞아 셰어하우스에 입주한다. 은퇴한 아이돌 이두나가 아래층에 살고 있다는 것을 알게 되는데..","스토리, 로맨스"
5,식스틴,https://comic.naver.com/webtoon/list?titleId=703854,https://shared-comic.pstatic.net/thumb/webtoon/703854/thumbnail/thumbnail_IMAG06_08bbe9e0-3a84-4ca9-8082-9ca1626b07d1.jpg,"29살 싱글맘 직장인 서인주, 어느 날 나타난 수상한 동창으로 그녀의 일상이 흔들린다.","스토리, 드라마"
6,역전! 야매요리,https://comic.naver.com/webtoon/list?titleId=409630,https://shared-comic.pstatic.net/thumb/webtoon/409630/thumbnail/title_thumbnail_20111205161710_t125x101.jpg,"그녀가 했으니 당신도 할 수 있다!
실패가 두렵지 않은 발칙한 요리 도전기, 포토툰으로 만나다.","에피소드, 개그"
7,오늘도 사랑스럽개,https://comic.naver.com/webtoon/list?titleId=699658,https://shared-comic.pstatic.net/thumb/webtoon/699658/thumbnail/thumbnail_IMAG06_1de2c6d4-b97a-4706-a986-4bcaca5ef2ec.jpg,"새벽마다 개로 변하는 저주를 풀고 싶은 여자와
개가 무서운 남자의 밀고 당기는 로맨스!","스토리, 로맨스"
8,신령,https://comic.naver.com/webtoon/list?titleId=507638,https://shared-comic.pstatic.net/thumb/webtoon/507638/thumbnail/title_thumbnail_20140704105058_t125x101.jpg,"신이라 불리는 방울. 그 방울의 선택을 받은 약소국의 어린왕 홍령과
방울의 비밀을 둘러싼 과거와 현재 이야기.","스토리, 판타지"
9,같은도장,https://comic.naver.com/webtoon/list?titleId=725830,https://shared-comic.pstatic.net/thumb/webtoon/725830/thumbnail/thumbnail_IMAG06_3932b16a-cd41-4436-aa0d-3ea751c3099c.jpg,"게임 친구였던 귀여운(?) 연하남과
같은 검도장에서 만나버렸다!","스토리, 로맨스"
