item,url,thumbnail
어글리후드,https://comic.naver.com/webtoon/list?titleId=703630&week=sat,https://shared-comic.pstatic.net/thumb/webtoon/703630/thumbnail/thumbnail_IMAG06_55f8c94e-84e3-478f-a418-a9d5a112b8c8.jpg
일상날개짓,https://comic.naver.com/webtoon/list?titleId=55143,https://shared-comic.pstatic.net/thumb/webtoon/55143/thumbnail/title_thumbnail_20120419164746_t125x101.jpg
하루만 네가 되고 싶어,https://comic.naver.com/webtoon/list?titleId=738487&week=tue,https://shared-comic.pstatic.net/thumb/webtoon/738487/thumbnail/thumbnail_IMAG06_4743a2f1-ccf7-4349-9e67-a2fdf3069aa4.jpg
올해의 벚꽃도 함께,https://comic.naver.com/webtoon/list?titleId=652403,https://shared-comic.pstatic.net/thumb/webtoon/652403/thumbnail/title_thumbnail_20150406152052_t125x101.jpg
이두나!,https://comic.naver.com/webtoon/list?titleId=731130,https://shared-comic.pstatic.net/thumb/webtoon/731130/thumbnail/thumbnail_IMAG06_1698fd6b-def1-44ec-b699-5bc78406949a.jpg
식스틴,https://comic.naver.com/webtoon/list?titleId=703854,https://shared-comic.pstatic.net/thumb/webtoon/703854/thumbnail/thumbnail_IMAG06_08bbe9e0-3a84-4ca9-8082-9ca1626b07d1.jpg
역전! 야매요리,https://comic.naver.com/webtoon/list?titleId=409630,https://shared-comic.pstatic.net/thumb/webtoon/409630/thumbnail/title_thumbnail_20111205161710_t125x101.jpg
오늘도 사랑스럽개,https://comic.naver.com/webtoon/list?titleId=699658,https://shared-comic.pstatic.net/thumb/webtoon/699658/thumbnail/thumbnail_IMAG06_1de2c6d4-b97a-4706-a986-4bcaca5ef2ec.jpg
신령,https://comic.naver.com/webtoon/list?titleId=507638,https://shared-comic.pstatic.net/thumb/webtoon/507638/thumbnail/title_thumbnail_20140704105058_t125x101.jpg
같은도장,https://comic.naver.com/webtoon/list?titleId=725830,https://shared-comic.pstatic.net/thumb/webtoon/725830/thumbnail/thumbnail_IMAG06_3932b16a-cd41-4436-aa0d-3ea751c3099c.jpg
한 살이라도 어릴 때,https://comic.naver.com/webtoon/list?titleId=500945,https://shared-comic.pstatic.net/thumb/webtoon/500945/thumbnail/title_thumbnail_20120828171422_t125x101.jpg
바른연애 길잡이,https://comic.naver.com/webtoon/list?titleId=703852,https://shared-comic.pstatic.net/thumb/webtoon/703852/thumbnail/thumbnail_IMAG06_0aacf362-325b-4d8d-ad60-4b7d888b2fdd.jpg
남주의 첫날밤을 가져버렸다,https://comic.naver.com/webtoon/list?titleId=749639,https://shared-comic.pstatic.net/thumb/webtoon/749639/thumbnail/thumbnail_IMAG06_a9335bbb-1ffe-4be9-ace4-1ab05cc56853.jpg
별의 유언,https://comic.naver.com/webtoon/list?titleId=259937,https://shared-comic.pstatic.net/thumb/webtoon/259937/thumbnail/title_thumbnail_20111010155801_t125x101.jpg
신의 탑,https://comic.naver.com/webtoon/list?titleId=183559,https://shared-comic.pstatic.net/thumb/webtoon/183559/thumbnail/thumbnail_IMAG06_b1272b70-7eb4-4c1e-bc08-50bf924e73be.jpg
성공한 덕후,https://comic.naver.com/webtoon/list?titleId=703628,https://shared-comic.pstatic.net/thumb/webtoon/703628/thumbnail/thumbnail_IMAG06_af1f8eb5-d5df-4a0d-a787-ee61d1774fb7.jpg
빵점동맹,https://comic.naver.com/webtoon/list?titleId=495498,https://shared-comic.pstatic.net/thumb/webtoon/495498/thumbnail/title_thumbnail_20120816152437_t125x101.jpg
달수 이야기,https://comic.naver.com/webtoon/list?titleId=650292,https://shared-comic.pstatic.net/thumb/webtoon/650292/thumbnail/title_thumbnail_20161005180302_t125x101.jpg
슈퍼 시크릿,https://comic.naver.com/webtoon/list?titleId=650304,https://shared-comic.pstatic.net/thumb/webtoon/650304/thumbnail/title_thumbnail_20150323144620_t125x101.jpg
낢이 사는 이야기,https://comic.naver.com/webtoon/list?titleId=752390,https://shared-comic.pstatic.net/thumb/webtoon/752390/thumbnail/thumbnail_IMAG06_78c1a7a6-70f1-48e1-825c-6e86ad8fc513.jpg
시타를 위하여,https://comic.naver.com/webtoon/list?titleId=626904,https://shared-comic.pstatic.net/thumb/webtoon/626904/thumbnail/title_thumbnail_20140609112225_t125x101.jpg
금세 사랑에 빠지는,https://comic.naver.com/webtoon/list?titleId=671270,https://shared-comic.pstatic.net/thumb/webtoon/671270/thumbnail/title_thumbnail_20160112114152_t125x101.jpg
고래별,https://comic.naver.com/webtoon/list?titleId=729767,https://shared-comic.pstatic.net/thumb/webtoon/729767/thumbnail/thumbnail_IMAG06_dab4ef21-b48f-4648-8dd3-e72684293880.jpg
크리퍼스큘,https://comic.naver.com/webtoon/list?titleId=297795,https://shared-comic.pstatic.net/thumb/webtoon/297795/thumbnail/title_thumbnail_20141220014738_t125x101.jpg
묵회,https://comic.naver.com/webtoon/list?titleId=63453,https://shared-comic.pstatic.net/thumb/webtoon/63453/thumbnail/title_thumbnail_20090807192242_t125x101.jpg
대학일기,https://comic.naver.com/webtoon/list?titleId=679519,https://shared-comic.pstatic.net/thumb/webtoon/679519/thumbnail/title_thumbnail_20160601180804_t125x101.jpg
세기말 풋사과 보습학원,https://comic.naver.com/webtoon/list?titleId=761722&week=fri,https://shared-comic.pstatic.net/thumb/webtoon/761722/thumbnail/thumbnail_IMAG06_05bcba6c-ee2b-4c70-b9a4-539c304cd8ab.jpg
계룡선녀전,https://comic.naver.com/webtoon/list?titleId=693431,https://shared-comic.pstatic.net/thumb/webtoon/693431/thumbnail/thumbnail_IMAG06_653fb45a-e357-4c87-a479-13a7efff4e14.jpg
플랫다이어리,https://comic.naver.com/webtoon/list?titleId=724965,https://shared-comic.pstatic.net/thumb/webtoon/724965/thumbnail/thumbnail_IMAG06_c10e13df-3e57-40d3-bb10-531d60494bf9.jpg
스튜디오 짭쪼롬,https://comic.naver.com/webtoon/list?titleId=597480,https://shared-comic.pstatic.net/thumb/webtoon/597480/thumbnail/title_thumbnail_20131031175416_t125x101.jpg
동트는 로맨스,https://comic.naver.com/webtoon/list?titleId=746285,https://shared-comic.pstatic.net/thumb/webtoon/746285/thumbnail/thumbnail_IMAG06_1f6e304a-1c16-4d53-9125-6fe3627b0b18.jpg
